date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2021-11-23 19:03:28.03 24.0487 121.8917 45.39 2.40 55 29.40 63 0.35 0.40 0.50 F 100 B
2021-11-23 19:25:11.00 24.1917 121.8860 51.12 2.40 62 19.00 56 0.29 0.30 0.30 F 113 B
2021-11-23 19:27:51.05 23.6540 121.6993 32.44 2.42 48 16.60 94 0.30 0.30 0.30 F 77 C
2021-11-24 07:43:03.25 23.5258 121.5210 32.64 3.08 72 10.60 71 0.34 0.30 0.30 F 122 B
2021-11-24 11:40:16.75 23.8840 121.7290 21.12 3.21 99 13.10 42 0.29 0.10 0.10 F 239 B
2021-11-24 22:02:54.05 23.9317 121.4543 17.92 2.50 56 5.40 43 0.29 0.20 0.30 F 108 B
2021-11-25 12:11:01.10 23.5740 121.5998 37.66 2.08 20 20.10 232 0.23 0.60 0.60 F 34 C
2021-11-25 12:13:18.27 23.7302 121.3747 23.56 2.53 44 1.80 57 0.26 0.20 0.20 F 75 B
2021-11-25 13:29:34.41 24.2065 121.8773 52.78 2.92 99 17.20 40 0.36 0.20 0.20 F 175 B
2021-11-25 19:02:42.89 24.1253 121.4100 3.09 2.40 53 11.60 26 0.34 0.20 0.20 F 88 C
2021-11-26 05:35:23.09 24.0923 121.7477 23.23 2.69 48 14.60 91 0.26 0.20 0.20 F 90 B
2021-11-26 16:02:55.63 23.8408 121.4240 18.08 2.35 54 3.70 49 0.30 0.20 0.30 F 96 B
2021-11-26 18:16:44.89 23.7620 121.6765 40.26 2.05 22 11.90 228 0.31 0.70 0.60 F 41 D
2021-11-27 00:02:36.38 23.9302 121.6072 47.98 2.26 33 12.30 95 0.29 0.60 0.50 F 66 B
2021-11-27 00:34:22.39 23.7270 121.9528 38.59 2.42 32 40.30 101 0.41 0.60 0.90 F 64 C
2021-11-27 00:38:19.55 23.9693 121.4773 20.77 2.35 33 1.60 58 0.42 0.70 0.80 F 55 A
2021-11-27 01:26:32.34 23.7745 121.4698 11.85 1.04 6 5.10 145 0.25 1.50 0.90 F 10 C
2021-11-27 02:20:38.92 23.9337 121.4560 17.37 2.45 36 5.10 43 0.28 0.30 0.30 F 64 B
2021-11-27 03:21:32.06 23.6938 121.7463 34.28 2.47 33 20.30 103 0.32 0.50 0.40 F 52 C
2021-11-27 06:37:36.92 23.8715 121.4028 14.65 1.09 7 7.70 78 0.29 1.10 1.80 F 13 A
2021-11-27 06:51:07.04 23.8817 121.4145 15.22 1.43 11 8.20 119 0.23 0.80 1.30 F 18 B
2021-11-27 07:29:29.28 23.7648 121.6873 39.21 2.46 40 12.90 85 0.32 0.50 0.30 F 72 B
